"dataset","yearPublished","format","language","type","district","isProtectedArea","done","note"
"Hanák, 2006-ptáci-zámecké parky.pdf",2006,"literature","Czech","scientific publication","Olomouckı",FALSE,FALSE,"pdf-scan"
"Koèvara,2004-ornit.Jeseníky.pdf",2004,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf"
"Šmaha,1978-avif.Èes.støedohoøí.pdf",1978,"literature","Czech","scientific publication","Ústeckı",TRUE,FALSE,"pdf-scan"
"Urbánek,2012-Knìièky-Aves-IP",2012,"AOPK-data","Czech","inventory research","Støedoèeskı",TRUE,FALSE,"pdf"
"Bárta, 2000-PR Mokøadlo-IP.pdf",2000,"AOPK-data","Czech","inventory research","Vysoèina",TRUE,FALSE,"pdf-scan"
"Lemberk,1994-Vertebr-Støemošická stráò.pdf",1994,"literature","Czech","scientific publication","Pardubickı",TRUE,FALSE,"pdf-scan"
"Tichı,1992-ptactvo-Louny.pdf",1992,"literature","Czech","scientific publication","Ústeckı",FALSE,FALSE,"pdf-scan"
"Sofron et al., 1978-Starı rybník.pdf",1978,"AOPK-data","Czech","inventory research","Plzeòskı",TRUE,FALSE,"pdf-scan"
"Tichai, 2012-Velkı a Malı Štít-Aves-IP",2012,"AOPK-data","Czech","inventory research","Støedoèeskı",TRUE,FALSE,"pdf"
"Koèvara,2005-ornit.Jeseníky.pdf",2005,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf"
"Lemberk,1996-Vertebr.Maštale.pdf",1996,"literature","Czech","scientific publication","Pardubickı",TRUE,FALSE,"pdf-scan"
"Dušek, 2004-Libickı luh-IP.pdf",2004,"AOPK-data","Czech","inventory research","Støedoèeskı",TRUE,FALSE,"pdf"
"Šmaha,1983-Avifauna-Køivoklátsko.pdf",1983,"literature","Czech","scientific publication","Støedoèeskı",TRUE,FALSE,"pdf-scan"
"Rybáø,1976-vertebr.Orlické hory2.pdf",1976,"literature","Czech","inventory research","Královéhradeckı",TRUE,FALSE,"pdf, without tables"
"Hromádko,1998-ptáci-Orlické hory.pdf",1998,"literature","Czech","scientific publication","Královéhradeckı",TRUE,FALSE,"pdf-scan, without tables"
"Tis-Svaz(1976) IP SPR Kvìtnice.pdf",1976,"AOPK-data","Czech","inventory research","Jihomoravskı",TRUE,FALSE,"pdf-scan"
"Vavøík, 2007-ornito-prùzkum PR Bøidlièná.pdf",2007,"literature","Czech","scientific publication","Olomouckı",TRUE,FALSE,"pdf"
"Koèvara,2005-ornit.Jeseníky2.pdf",2005,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf"
"Šastnı et al.,1987-ptáci-KrušnéHory.pdf",1987,"literature","Czech","scientific publication","Ústeckı",FALSE,FALSE,"pdf-scan"
"Volf, 2019-rybník Motovidlo-IP.pdf",2019,"AOPK-data","Czech","inventory research","Jihoèeskı",TRUE,FALSE,"pdf"
"Lemberk&Fejfar,1995-vertebr.KusáHora.pdf",1995,"literature","Czech","scientific publication","Pardubickı",TRUE,FALSE,"pdf-scan"
"Rùièka,2010-Aves-el.hory.pdf",2010,"literature","Czech","scientific publication","Pardubickı, Vysoèina",TRUE,FALSE,"pdf"
"Kloubec,1996-Aves-Šumava.pdf",1996,"literature","Czech","inventory research","Plzeòskı, Jihoèeskı",TRUE,FALSE,"pdf-scan, without tables in csv"
"Vlèek,1974-vertebr.ÈesStøedoh.pdf",1974,"literature","Czech","inventory research","Ústeckı",TRUE,FALSE,"pdf-scan"
"Vlèek,1973-Vertebr.Lu.hory.pdf",1973,"literature","Czech","scientific publication","Libereckı",TRUE,FALSE,"pdf-scan"
"Rùièka,2020-ptáci-Bohdaneè.ryb..pdf",2020,"literature","Czech","scientific publication","Pardubickı",TRUE,FALSE,"pdf"
"KØENEK D. (2006) IP PR Velkı Polom..pdf",2006,"AOPK-data","Czech","inventory research","Moravskoslezkı",TRUE,FALSE,"pdf-scan"
"Klíma,1959-Boubín.pdf",1959,"literature","Czech","scientific publication","Jihoèeskı",TRUE,FALSE,"pdf-scan"
"Lemberk&Rùièka,1996-ornitoprùzkum-Svratka.pdf",1996,"literature","Czech","scientific publication","Vysoèina",TRUE,FALSE,"pdf-scan"
"Vlèek,1974-vertebr.ÈesStøedoh2.pdf",1974,"literature","Czech","inventory research","Ústeckı",TRUE,FALSE,"pdf-scan"
"Šebestian, 2008-Blanskı les-IP.pdf",2008,"AOPK-data","Czech","inventory research","Jihoèeskı",TRUE,FALSE,"pdf-scan"
"Vlèek,1975-vertebr.ÈesStøedoh.pdf",1975,"literature","Czech","inventory research","Ústeckı",TRUE,FALSE,"pdf-scan"
"Vlèek,1973-vertebr.ÈesStøedoh.pdf",1973,"literature","Czech","scientific publication","Ústeckı",TRUE,FALSE,"pdf-scan"
"Koròan,2011-birds-MoravaRiver.pdf",2011,"literature","English","scientific publication","SLOVENSKO (Morava river)",TRUE,FALSE,"pdf"
"Palicka et Kopec 1993-Smradlavı u Karolinky (in Zpravodaj OVM Vsetín)",1993,"literature","Czech","scientific publication","Zlínskı",TRUE,FALSE,"pdf-scan"
"Spom,2006-Vertebr.-el.hory.pdf",2006,"literature","Czech","inventory research","Pardubickı, Vysoèina",TRUE,FALSE,"pdf-scan, without tables"
"Vlèek,1976-Vertebr.-Lovoš.pdf",1976,"literature","Czech","scientific publication","Ústeckı",TRUE,FALSE,"pdf-scan"
"Zasadil,2001-hrázeTøeboòsko.pdf",2001,"literature","Czech","scientific publication","Jihoèeskı",TRUE,FALSE,"pdf"
"Spom,2006-Vertebr.-el.hory2.pdf",2006,"literature","Czech","inventory research","Pardubickı, Vysoèina",TRUE,FALSE,"pdf-scan, without tables"
"Kuèera,1998-Aves-Šumava.pdf",1998,"literature","Czech","scientific publication","Plzeòskı",TRUE,FALSE,"pdf-scan"
"Pavelka,1988-ptáci-parkOstrava.pdf",1988,"literature","Czech","scientific publication","Moravskoslezkı",FALSE,FALSE,"pdf-scan"
"Èernı&Šebela, 2018-zmìny spol.ptákù-parkBrno.pdf",2018,"literature","Czech","scientific publication","Jihomoravskı",FALSE,FALSE,"pdf"
"Pavelka,Berec,1993-Vachalka,Vsetín.vodárna.pdf",1993,"literature","Czech","scientific publication","Zlínskı",TRUE,FALSE,"pdf-scan"
"Machar, 2007-ornitocenozy Plané Louèky.pdf",2007,"literature","Czech","scientific publication","Olomouckı",TRUE,FALSE,"pdf"
"Pelc,1989-ptáci-buèina Rakousy.pdf",1989,"literature","Czech","scientific publication","Libereckı",FALSE,FALSE,"pdf-scan"
"Øepa, 2014-synuzie-vesnice Tachovska.pdf",2014,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf"
"Machar, 2009-ornitoc.luk-Litov.Pomoraví.pdf",2009,"literature","Czech","scientific publication","Olomouckı",TRUE,FALSE,"pdf"
"Øepa, 2015-synuzie-hájky-Tachovská brázda.pdf",2015,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf"
"Martiško et al.,1995-Aves-Podyjí.pdf",1995,"literature","Czech","scientific publication-atlas","Jihomoravskı",TRUE,FALSE,"pdf-scan, atlas data"
"Pešková,1990-Prùhonice.pdf",1990,"literature","Czech","scientific publication","Praha",FALSE,FALSE,"pdf-scan"
"Pokornı,1989-Birds-Prague.pdf",1989,"literature","English","scientific publication","Praha",FALSE,FALSE,"pdf-scan"
"Øepa, 2017-synuzie-Tachov.pdf",2017,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf"
"Paclík et al., 2003-Bohdaneèskı rybník-avifauna.pdf",2003,"literature","Czech","scientific publication","Pardubickı",TRUE,FALSE,"pdf"
"Poprach et al.,2014-spol.ptákù-Chomutovské jezero.pdf",2014,"literature","Czech","scientific publication","Olomouckı",TRUE,FALSE,"pdf"
"Øepa, 2018-Tachovská brázda-zmìny.pdf",2018,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf, cf. Øepa, 1989 & Øepa, 1981"
"Pokornı,1990-ornitocenosy-Praha.pdf",1990,"literature","Czech","scientific publication","Praha",FALSE,FALSE,"pdf-scan"
"Pykal,1991-ptáci-lesní spol.JZÈechy.pdf",1991,"literature","Czech","scientific publication","Jihoèeskı",TRUE,FALSE,"pdf-scan"
"Øepa2016-ptactvoCHKO Slavk.les.pdf",2016,"literature","Czech","scientific publication","Karlovarskı",FALSE,FALSE,"pdf"
"Øepa,1979-ptactvo samoty .pdf",1979,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf-scan"
"Øepa,1989-ptavctvo lesù-Tachov.brázda.pdf",1989,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf, cf. Øepa, 2018!"
"Øepa,1980a-ptaèí synuzie-Pøimda.pdf",1980,"literature","Czech","scientific publication","Plzeòskı",TRUE,FALSE,"pdf-scan"
"Ševèíková&Tošenovskı,2014-ptáciOlomouc.hradu.pdf",2014,"literature","Czech","scientific publication","Olomouckı",FALSE,FALSE,"pdf"
"Øepa,1980b-vesniceÈeskı les.pdf",1980,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf-scan"
"Šastnı, 1978-ptáci-Opatovickı rybník.pdf",1978,"literature","Czech","scientific publication","Jihoèeskı",FALSE,FALSE,"pdf-scan"
"Øepa,1981-ptactvo lesù Tach.brázdy.pdf",1981,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf-scan, cf. Øepa, 2018!"
"KOVÁØOVÁ J. (1984) Státní pøírodní reservace Šerák.pdf",1984,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf-scan"
"Øepa,1984-bird synuzia Èeskı les.pdf",1984,"literature","English","scientific publication","Plzeòskı",TRUE,FALSE,"pdf-scan"
